feature,gain,split
CC_SK_DPD_MAX,263.83750610351564,16.6
CC_24M_SK_DPD_SUM,232.4169044494629,16.4
LIVE_CITY_NOT_WORK_CITY,224.96442375183105,14.2
REG_CITY_NOT_WORK_CITY,214.59071674346924,11.4
CC_SK_DPD_DEF_MAX,182.3490261077881,10.2
CC_48M_AMT_BALANCE_MAX,177.17085285186766,8.0
BUREAU_CAR_AMT_CREDIT_MAX_OVERDUE_MEAN,147.3358497619629,11.2
FLAG_DOCUMENT_18,146.32632865905762,9.8
BUREAU_CAR_AMT_CREDIT_MAX_OVERDUE_MAX,137.15458869934082,10.6
CC_12M_SK_DPD_MAX,115.21717262268066,7.0
BUREAU_LAST6M_STATUS_12345_MEAN,104.09899215698242,7.8
BUREAU_MORTGAGE_AMT_CREDIT_MAX_OVERDUE_MEAN,93.83967018127441,7.4
PREV_NAME_TYPE_SUITE_Group of people_MEAN,91.6535873413086,5.0
CC_48M_SK_DPD_SUM,86.30637197494507,6.0
PREV_PRODUCT_COMBINATION_POS others without interest_MEAN,76.90784034729003,4.6
REG_REGION_NOT_WORK_REGION,74.03558864593506,4.6
BUREAU_MORTGAGE_AMT_CREDIT_MAX_OVERDUE_MAX,65.96971988677979,4.6
PREV_NAME_CLIENT_TYPE_XNA_MEAN,60.11271991729736,3.8
CC_24M_SK_DPD_MAX,57.182359886169436,3.4
CC_48M_SK_DPD_MAX,26.29534034729004,2.0
REG_REGION_NOT_LIVE_REGION,25.404819869995116,1.4
PREV_NAME_CONTRACT_TYPE_XNA_MEAN,24.436289978027343,1.8
BUREAU_MICROLOAN_AMT_CREDIT_MAX_OVERDUE_MEAN,14.166860008239746,0.6
POS_NAME_CONTRACT_STATUS_Demand_MEAN,12.741779708862305,0.6
BUREAU_MICROLOAN_AMT_CREDIT_MAX_OVERDUE_MAX,10.873699951171876,0.4
CC_LATE_PAYMENT_MAX,7.187859916687012,0.4
BUREAU_LAST6M_AMT_CREDIT_SUM_OVERDUE_MEAN,5.405299949645996,0.4
PREV_CHANNEL_TYPE_Car dealer_MEAN,5.185820007324219,0.2
APPROVED_DAYS_FIRST_DRAWING_MAX,0.0,0.0
